,id,name,position,team,batting_summary,batting_gamesPlayed,batting_flyOuts,batting_groundOuts,batting_airOuts,batting_runs,batting_doubles,batting_triples,batting_homeRuns,batting_strikeOuts,batting_baseOnBalls,batting_intentionalWalks,batting_hits,batting_hitByPitch,batting_atBats,batting_caughtStealing,batting_stolenBases,batting_stolenBasePercentage,batting_groundIntoDoublePlay,batting_groundIntoTriplePlay,batting_plateAppearances,batting_totalBases,batting_rbi,batting_leftOnBase,batting_sacBunts,batting_sacFlies,batting_catchersInterference,batting_pickoffs,batting_atBatsPerHomeRun,batting_popOuts,batting_lineOuts,fielding_gamesStarted,fielding_caughtStealing,fielding_stolenBases,fielding_stolenBasePercentage,fielding_assists,fielding_putOuts,fielding_errors,fielding_chances,fielding_fielding,fielding_passedBall,fielding_pickoffs,pitching_summary,pitching_gamesPlayed,pitching_gamesStarted,pitching_flyOuts,pitching_groundOuts,pitching_airOuts,pitching_runs,pitching_doubles,pitching_triples,pitching_homeRuns,pitching_strikeOuts,pitching_baseOnBalls,pitching_intentionalWalks,pitching_hits,pitching_hitByPitch,pitching_atBats,pitching_caughtStealing,pitching_stolenBases,pitching_stolenBasePercentage,pitching_numberOfPitches,pitching_inningsPitched,pitching_wins,pitching_losses,pitching_saves,pitching_saveOpportunities,pitching_holds,pitching_blownSaves,pitching_earnedRuns,pitching_battersFaced,pitching_outs,pitching_gamesPitched,pitching_completeGames,pitching_shutouts,pitching_pitchesThrown,pitching_balls,pitching_strikes,pitching_strikePercentage,pitching_hitBatsmen,pitching_balks,pitching_wildPitches,pitching_pickoffs,pitching_rbi,pitching_gamesFinished,pitching_runsScoredPer9,pitching_homeRunsPer9,pitching_inheritedRunners,pitching_inheritedRunnersScored,pitching_catchersInterference,pitching_sacBunts,pitching_sacFlies,pitching_passedBall,pitching_popOuts,pitching_lineOuts,pitching_note,batting_note
27,455117,Martín Maldonado,C,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,650633,Michael King,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,663158,Robert Suarez,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,593974,Wandy Peralta,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,701538,Jackson Merrill,CF,away,"4-6 | 2 RBI, 2 R",1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,.---,0.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,3.0,0.0,3.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,578428,Jose Iglesias,SS,away,1-2 | R,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,1.0,0.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a-
33,592094,Jason Adam,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,518792,Jason Heyward,RF,away,"1-6 | HR, 3 RBI, 2 R",1.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,.---,0.0,0.0,6.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,6.00,0.0,1.0,1.0,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,663604,Brandon Lockridge,LF,away,0-1 | BB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,.---,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,2.0,0.0,2.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,669093,Jeremiah Estrada,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,657757,Gavin Sheets,1B,away,"3-6 | HR, 2B, K",1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,.---,0.0,0.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,6.00,0.0,0.0,1.0,0.0,0.0,.---,1.0,9.0,0.0,10.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,656302,Dylan Cease,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,670970,Adrian Morejon,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,592518,Manny Machado,3B,away,"2-3 | 2B, BB, RBI",1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,.---,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,0.0,1.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,689690,Alek Jacob,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,601713,Nick Pivetta,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,642180,Tyler Wade,3B,away,1-2 | RBI,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,.---,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,1.0,,0.0,0.0,.---,2.0,0.0,0.0,2.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b-
44,663568,Stephen Kolek,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,.---,0.0,1.0,0.0,1.0,.000,0.0,0.0,"9.0 IP, 0 ER, 7 K, 2 BB",1.0,1.0,5.0,11.0,7.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,5.0,0.0,30.0,0.0,0.0,.---,104.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,27.0,1.0,1.0,1.0,104.0,36.0,68.0,.650,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"(W, 2-0)",
45,669308,Sean Reynolds,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,665487,Fernando Tatis Jr.,RF,away,"2-4 | HR, BB, 3 RBI",1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,4.00,0.0,0.0,1.0,0.0,0.0,.---,0.0,1.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,593428,Xander Bogaerts,SS,away,"2-4 | HR, K, RBI",1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,4.00,1.0,0.0,1.0,0.0,0.0,.---,1.0,0.0,0.0,1.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,553869,Elias Díaz,C,away,"3-5 | 2 2B, BB, 2 K",1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,.---,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,1.0,0.0,0.0,.---,1.0,7.0,0.0,8.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,630105,Jake Cronenworth,2B,away,"2-4 | HR, BB, 3 RBI",1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,.---,0.0,0.0,6.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,4.00,1.0,0.0,1.0,0.0,0.0,.---,4.0,3.0,0.0,7.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,650333,Luis Arraez,DH,away,"3-7 | 3B, 3 RBI, 2 R",1.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,.---,0.0,0.0,7.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,-.--,0.0,0.0,,0.0,0.0,.---,0.0,0.0,0.0,0.0,.000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,681190,Randy Vásquez,P,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
